date,time,group nr.,type
1958-01-01,08:40,1,D
1958-01-02,08:40,1,D
1958-01-03,09:30,1,C
1958-01-04,10:00,1,C
1958-01-08,10:00,1,B
1958-01-10,08:30,1,A
1959-01-01,12:30,1,D
1959-01-02,09:30,1,D
1959-01-03,09:00,1,D
1959-01-05,09:30,1,E
1959-01-06,10:00,1,E
1959-01-08,10:30,1,E
1959-01-09,12:30,1,E
1959-01-10,08:30,1,E
1959-01-11,09:00,1,E
1959-01-12,09:00,1,D
1959-01-13,09:00,1,J
1960-01-01,08:30,1,D
1960-01-02,10:00,1,C
1960-01-03,12:30,1,A
1961-01-02,10:30,1,A
1962-01-07,09:00,1,C
1962-01-08,08:30,1,A
1963-01-01,13:30,1,C
1964-01-02,08:30,1,A
1964-01-04,13:30,1,A
1964-01-05,08:30,1,A
1965-01-03,13:00,1,D
1965-01-04,09:15,1,D
1965-01-05,08:45,1,D
1965-01-06,09:15,1,D
1965-01-07,08:45,1,C
1965-01-08,08:45,1,B
1965-01-09,13:30,1,J
1965-01-10,09:00,1,A
1965-01-11,10:00,1,A
1966-01-07,09:30,1,A
1967-01-02,09:45,1,A
1968-01-01,09:00,1,B
1968-01-02,09:30,1,D
1968-01-03,09:15,1,D
1968-01-04,09:00,1,D
1968-01-05,09:15,1,D
1968-01-06,11:00,1,D
1968-01-07,11:00,1,D
1968-01-10,11:00,1,B
1968-01-11,10:45,1,A
1969-01-01,09:30,1,A
1969-01-02,10:00,1,A
1970-01-01,09:30,1,A
1970-01-20,10:00,1,B
1971-01-02,09:30,1,B
1971-01-03,08:45,1,B
1971-01-04,08:45,1,B
1972-01-05,09:00,1,B
1972-01-06,10:30,1,A
1973-01-02,14:15,1,A
1974-01-04,08:30,1,B
1974-01-05,08:45,1,A
1975-01-01,10:00,1,B
1975-01-02,09:45,1,D
1975-01-03,08:45,1,J
1976-01-12,08:30,1,A
1976-01-13,09:00,1,A
1977-01-02,09:30,1,B
1977-01-03,13:30,1,C
1978-01-01,09:00,1,B
1978-01-02,09:00,1,C
1978-01-03,09:00,1,D
1978-01-04,09:00,1,D
1978-01-05,10:00,1,C
1978-01-06,08:50,1,B
1978-01-07,09:15,1,A
1979-01-01,10:45,1,C
1979-01-02,09:00,1,C
1979-01-03,09:15,1,A
1979-01-04,14:00,1,A
1980-01-01,08:30,1,B
1981-01-02,09:00,1,A
1982-01-01,12:30,1,A
1983-01-01,10:00,1,B
1983-01-02,10:00,1,J
1983-01-03,11:00,1,A
1984-01-05,09:00,1,A
1984-01-06,09:45,1,A
1984-01-07,09:00,1,B
1985-01-17,10:45,1,D
1985-01-18,11:15,1,D
1986-01-05,09:45,1,A
1987-01-01,10:45,1,C
1987-01-02,09:00,1,C
1987-01-03,09:45,1,C
1987-01-04,09:45,1,C
1987-01-05,09:15,1,C
1987-01-06,10:00,1,C
1987-01-07,09:15,1,B
1987-01-08,08:45,1,A
1988-01-02,10:45,1,A
1988-01-03,11:30,1,A
1988-01-04,10:15,1,A
1988-01-05,09:00,1,A
1988-01-07,08:45,1,B
1988-01-08,09:15,1,C
1988-01-09,09:00,1,C
1988-01-10,09:30,1,C
1989-01-01,10:00,1,A
1989-01-02,09:30,1,A
1989-01-03,10:00,1,A
1990-01-01,10:45,1,A
1990-01-02,09:30,1,A
1990-01-03,08:30,1,A
1990-01-04,09:00,1,C
1991-01-02,14:30,1,G
1991-01-03,09:00,1,G
1991-01-05,09:00,1,G
1991-01-06,10:00,1,C
1991-01-08,09:00,1,B
1992-01-01,09:30,1,A
1993-01-01,09:15,1,H
1993-01-02,11:00,1,H
1993-01-03,09:45,1,H
1993-01-04,09:30,1,H
1993-01-05,08:45,1,C
1993-01-06,11:15,1,C
1993-01-07,09:45,1,C
1993-01-08,08:45,1,C
1993-01-09,08:30,1,H
1993-01-10,10:00,1,H
1993-01-11,13:45,1,H
1994-01-03,09:00,1,C
1994-01-05,09:30,1,C
1995-01-02,10:30,1,A
1995-01-03,10:00,1,A
1996-01-03,09:00,1,C
1996-01-04,13:15,1,D
1996-01-08,09:00,1,C
1997-01-05,10:00,1,B
1997-01-08,13:00,1,A
1998-01-10,09:15,1,A
1998-01-11,11:00,1,A
1999-01-03,09:30,1,A
1999-01-04,08:45,1,A
1999-01-05,08:30,1,C
1999-01-06,09:00,1,C
1999-01-07,09:00,1,A
2000-01-04,09:00,1,A
2000-01-05,08:30,1,A
2000-01-06,09:15,1,D
2000-01-07,09:00,1,D
2000-01-08,09:00,1,D
2000-01-09,08:45,1,C
2001-01-01,09:30,1,A
2001-01-03,08:30,1,C
2002-01-01,09:00,1,C
2002-01-02,09:00,1,A
2002-01-03,08:45,1,C
2002-01-04,08:45,1,C
2002-01-05,08:45,1,D
2002-01-06,11:30,1,D
2003-01-02,09:30,1,B
2003-01-03,08:45,1,C
2003-01-04,09:00,1,D
2003-01-06,08:45,1,D
2003-01-07,09:00,1,D
2004-01-01,09:15,1,B
2004-01-03,09:15,1,D
2004-01-04,09:00,1,D
2004-01-05,09:00,1,J
2005-01-01,09:15,1,B
2005-01-02,11:00,1,D
2006-01-06,09:00,1,J
2006-01-07,09:00,1,J
2006-01-08,13:30,1,J
2006-01-09,10:15,1,J
2006-01-10,08:45,1,J
2006-01-11,08:30,1,J
2006-01-12,08:30,1,A
2007-01-02,08:45,1,J
2007-01-03,09:00,1,J
2007-01-04,09:00,1,J
2007-01-05,08:45,1,J
2007-01-06,08:45,1,J
2007-01-07,11:30,1,H
2007-01-08,12:00,1,J
2007-01-09,08:45,1,J
2007-01-11,08:45,1,J
2007-01-12,08:45,1,J
